date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:29	17350/17350	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202024%2010:22:23%20GMT	https://i.transtechvietnam.com/hoang	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/hoang.html	(from )
17:22:29	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%226690d151-47%22	https://i.transtechvietnam.com/robots.txt		(from )
17:22:30	15135/15135	---M--	200	added ('OK')	image/png	etag:%226690d150-3b1f%22	https://i.transtechvietnam.com/uploads/main/8e5b68e52219e7395b67611c32dc28af.png	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/main/8e5b68e52219e7395b67611c32dc28af.png	(from https://i.transtechvietnam.com/hoang)
17:22:30	201422/201422	---MCZ	200	added ('OK')	text/css	etag:W/%22661bf510-312ce%22	https://i.transtechvietnam.com/themes/altum/assets/css/bootstrap.min.css?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/css/bootstrap.min24f4.css	(from https://i.transtechvietnam.com/hoang)
17:22:30	25526/25526	---MCZ	200	added ('OK')	text/css	etag:W/%22661dfbf2-63b6%22	https://i.transtechvietnam.com/themes/altum/assets/css/custom.css?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/css/custom24f4.css	(from https://i.transtechvietnam.com/hoang)
17:22:30	4682/4682	---MCZ	200	added ('OK')	text/css	etag:W/%22661b3696-124a%22	https://i.transtechvietnam.com/themes/altum/assets/css/link-custom.css?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/css/link-custom24f4.css	(from https://i.transtechvietnam.com/hoang)
17:22:30	71751/71751	---MCZ	200	added ('OK')	text/css	etag:W/%225fc8273e-11847%22	https://i.transtechvietnam.com/themes/altum/assets/css/animate.min.css?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/css/animate.min24f4.css	(from https://i.transtechvietnam.com/hoang)
17:22:31	15299/15299	---M--	200	added ('OK')	image/png	etag:%2266d15521-3bc3%22	https://i.transtechvietnam.com/uploads/block_images/c2a1c0f9a0b317eb048d581b7e2797c5.png	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_images/c2a1c0f9a0b317eb048d581b7e2797c5.png	(from https://i.transtechvietnam.com/hoang)
17:22:31	256508/256508	---M--	200	added ('OK')	image/jpeg	etag:%2266d169f5-3e9fc%22	https://i.transtechvietnam.com/uploads/block_images/30ac052c7294957dc9b15133d52bd487.jpg	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_images/30ac052c7294957dc9b15133d52bd487.jpg	(from https://i.transtechvietnam.com/hoang)
17:22:31	191349/191349	---M--	200	added ('OK')	image/jpeg	etag:%2266d14860-2eb75%22	https://i.transtechvietnam.com/uploads/block_images/a7a4e8fefcf5cc4d676fe4035a109042.jpg	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_images/a7a4e8fefcf5cc4d676fe4035a109042.jpg	(from https://i.transtechvietnam.com/hoang)
17:22:31	1183602/1183602	---M--	200	added ('OK')	image/jpeg	etag:%2266d41643-120f72%22	https://i.transtechvietnam.com/uploads/block_images/ca4ac330aefc3ef4cffb9ec885667883.jpg	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_images/ca4ac330aefc3ef4cffb9ec885667883.jpg	(from https://i.transtechvietnam.com/hoang)
17:22:32	1289846/1289846	---M--	200	added ('OK')	image/jpeg	etag:%2266d42739-13ae76%22	https://i.transtechvietnam.com/uploads/block_images/46eb571a03836c68b289e7475ab1578b.jpg	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_images/46eb571a03836c68b289e7475ab1578b.jpg	(from https://i.transtechvietnam.com/hoang)
17:22:32	4697/4697	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202024%2010:22:25%20GMT	https://i.transtechvietnam.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/cdn-cgi/l/email-protection.html	(from https://i.transtechvietnam.com/hoang)
17:22:32	32479/32479	---M--	200	added ('OK')	image/png	etag:%2266d16b3d-7edf%22	https://i.transtechvietnam.com/uploads/block_thumbnail_images/ab2d5ad2db98b8881fbe804382227081.png	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_thumbnail_images/ab2d5ad2db98b8881fbe804382227081.png	(from https://i.transtechvietnam.com/hoang)
17:22:32	45446/45446	---M--	200	added ('OK')	image/png	etag:%2266d16acb-b186%22	https://i.transtechvietnam.com/uploads/block_thumbnail_images/7fb2ffa15d6aada56ed78a4ed3d95416.png	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_thumbnail_images/7fb2ffa15d6aada56ed78a4ed3d95416.png	(from https://i.transtechvietnam.com/hoang)
17:22:33	8282/8282	---M--	200	added ('OK')	image/jpeg	etag:%2266d16b03-205a%22	https://i.transtechvietnam.com/uploads/block_thumbnail_images/be7011a2231ef87bb804fe20b64a47d7.jpg	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/uploads/block_thumbnail_images/be7011a2231ef87bb804fe20b64a47d7.jpg	(from https://i.transtechvietnam.com/hoang)
17:22:33	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266fc0c28-4d7%22	https://i.transtechvietnam.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://i.transtechvietnam.com/hoang)
17:22:33	87533/87533	---MCZ	200	added ('OK')	application/javascript	etag:W/%226500ec12-155ed%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/jquery.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/jquery.min24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:33	21193/21193	---MCZ	200	added ('OK')	application/javascript	etag:W/%22657cbf66-52c9%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/popper.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/popper.min24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:33	62522/62522	---MCZ	200	added ('OK')	application/javascript	etag:W/%226567f476-f43a%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/bootstrap.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/bootstrap.min24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:34	38781/38781	---MCZ	200	added ('OK')	application/javascript	etag:W/%226608c606-977d%22	https://i.transtechvietnam.com/themes/altum/assets/js/custom.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/custom24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:34	56863/56863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c94064-de1f%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome.min24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:34	826270/826270	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c94064-c9b9e%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome-solid.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome-solid.min24f4.js	(from https://i.transtechvietnam.com/hoang)
17:22:35	476300/476300	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264dce522-7448c%22	https://i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome-brands.min.js?v=4700	C:/My%20Web%20Sites/web_clone/i.transtechvietnam.com/themes/altum/assets/js/libraries/fontawesome-brands.min24f4.js	(from https://i.transtechvietnam.com/hoang)
